step,p_min,p_1pct,p_5pct,p_med,w_med,w_95pct,w_99pct,w_max,ess,ess_ratio,dy_max,dy_mean,dy_std,top1_ratio,grad_norm,is_clipped,act_mean,act_std,na_mean,na_std,na_min,na_max,na_95pct,na_99pct,ra_mean,ra_std,ra_min,ra_max,ra_95pct,ra_99pct
1,0.5,0.5,0.5,0.5,2.0,2.0,2.0,2.0,1024.0,1.0,0.04705224558711052,0.016438566148281097,0.010516596026718616,0.002795223024118033,0.19829630851745605,0,0.0,0.0,0.02345748245716095,0.9757933616638184,-2.3030846118927,2.352612257003784,1.4030566215515137,1.9115961790084839,-0.5268165469169617,0.6912990808486938,-2.175051212310791,1.1232690811157227,0.45055803656578064,0.8108319044113159
2,0.5,0.5,0.5,0.5,2.0,2.0,2.0,2.0,1024.0,1.0,0.05365162342786789,0.016982123255729675,0.011120952665805817,0.003085253988254957,0.08250068128108978,0,0.0,0.0,-0.012415032833814621,1.0152441263198853,-2.6825811862945557,2.5380239486694336,1.3807611465454102,1.837577223777771,-0.5522303581237793,0.7192479968070984,-2.4439048767089844,1.254623532295227,0.4347628653049469,0.7583932876586914
3,0.5,0.5,0.5,0.5,2.0,2.0,2.0,2.0,456.0,1.0,0.04714753478765488,0.017526227980852127,0.010424241423606873,0.005899371032079633,0.08196157962083817,0,0.0,0.0,-0.024797486141324043,1.0201250314712524,-2.35737681388855,2.1268181800842285,1.4318686723709106,1.9101001024246216,-0.5610027313232422,0.7227058410644531,-2.2135143280029297,0.9633055925369263,0.47096991539001465,0.8097719550132751
4,0.5,0.5,0.5,0.5,2.0,2.0,2.0,2.0,1024.0,1.0,0.054161909967660904,0.01685299724340439,0.010789218358695507,0.0031384619269129665,0.10519847273826599,0,0.0,0.0,-0.040654294192790985,1.0000582933425903,-2.7080955505371094,2.3561158180236816,1.419825792312622,1.8704801797866821,0.21315208077430725,0.6464585065841675,-1.5111374855041504,1.7624741792678833,1.1572368144989014,1.4485491514205933
5,0.5,0.5,0.5,0.5,2.0,2.0,2.0,2.0,1024.0,1.0,0.05356897786259651,0.01696154475212097,0.010474191047251225,0.003084238830157278,0.11771749705076218,0,0.0,0.0,0.01362362690269947,0.9970075488090515,-2.40164852142334,2.6784489154815674,1.435132622718811,1.8880058526992798,0.2482384443283081,0.6444864869117737,-1.3130438327789307,1.970837116241455,1.1671314239501953,1.4598780870437622
6,0.5,0.5,0.5,0.5,2.0,2.0,2.0,2.0,828.0,1.0,0.050132039934396744,0.017208710312843323,0.010317862033843994,0.003518331276543639,0.0967455804347992,0,0.0,0.0,0.03342917934060097,1.0031306743621826,-2.5066020488739014,2.142324209213257,1.4158289432525635,1.8030354976654053,0.26104119420051575,0.6484445929527283,-1.3808879852294922,1.6242748498916626,1.1546531915664673,1.404951572418213
7,0.5,0.5,0.5,0.5,2.0,2.0,2.0,2.0,1024.0,1.0,0.057273391634225845,0.01714126020669937,0.010022112168371677,0.003262948338882282,0.04510651156306267,0,0.0,0.0,0.030176851898431778,0.992708683013916,-2.8636696338653564,2.7190093994140625,1.3880274295806885,1.8505444526672363,0.10284066200256348,0.6409618258476257,-1.7656282186508179,1.8389382362365723,0.9795635342597961,1.2781968116760254
8,0.5,0.5,0.5,0.5,2.0,2.0,2.0,2.0,1024.0,1.0,0.05950629711151123,0.017191722989082336,0.010442196391522884,0.003380209087237165,0.017991220578551292,0,0.0,0.0,-0.0035270042717456818,1.006079912185669,-2.9753148555755615,2.4404399394989014,1.4845269918441772,1.8556642532348633,0.08107911050319672,0.649595320224762,-1.8377140760421753,1.659074306488037,1.041870355606079,1.2815024852752686
9,0.5,0.5,0.5,0.5,2.0,2.0,2.0,2.0,871.0,1.0,0.05305815115571022,0.016854045912623405,0.0108257457613945,0.0036143463926927915,0.06636448949575424,0,0.0,0.0,-0.03133112192153931,1.0014852285385132,-2.448955774307251,2.652907609939575,1.4048500061035156,1.9345258474349976,0.0631268322467804,0.6466285586357117,-1.497860074043274,1.7962583303451538,0.9904254078865051,1.3324209451675415
10,0.5,0.5,0.5,0.5,2.0,2.0,2.0,2.0,1024.0,1.0,0.051156699657440186,0.016870617866516113,0.010593398474156857,0.0029612261331798816,0.06696809083223343,0,0.0,0.0,0.007800742983818054,0.9963579773902893,-2.4421024322509766,2.557835102081299,1.4317883253097534,1.9190046787261963,-0.1586836278438568,0.6509730815887451,-1.7593342065811157,1.5073881149291992,0.7716823816299438,1.0900064706802368
